"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"116","2300-2359","Frontier Airlines Inc.","Phoenix, AZ: Phoenix Sky Harbor International",0,0
"117","2300-2359","JetBlue Airways","Phoenix, AZ: Phoenix Sky Harbor International",7924,24.5325077399381
"118","2300-2359","SkyWest Airlines Inc.","Phoenix, AZ: Phoenix Sky Harbor International",97,9.7
"119","2300-2359","Southwest Airlines Co.","Phoenix, AZ: Phoenix Sky Harbor International",275,21.1538461538462
"120","2300-2359","United Air Lines Inc.","Phoenix, AZ: Phoenix Sky Harbor International",3227,11.5663082437276
"121","2300-2359","Alaska Airlines Inc.","Portland, OR: Portland International",210,2.53012048192771
"122","2300-2359","American Airlines Inc.","Portland, OR: Portland International",892,28.7741935483871
"123","2300-2359","Delta Air Lines Inc.","Portland, OR: Portland International",2718,13.4554455445545
"124","2300-2359","JetBlue Airways","Portland, OR: Portland International",2607,20.5275590551181
"125","2300-2359","SkyWest Airlines Inc.","Portland, OR: Portland International",1336,4.25477707006369
"126","2300-2359","Southwest Airlines Co.","Portland, OR: Portland International",8,0.666666666666667
"127","2300-2359","Spirit Air Lines","Portland, OR: Portland International",5680,28.2587064676617
"128","2300-2359","United Air Lines Inc.","Portland, OR: Portland International",8410,12.7231467473525
"129","2300-2359","JetBlue Airways","Reno, NV: Reno/Tahoe International",6049,20.3670033670034
"130","2300-2359","American Airlines Inc.","Sacramento, CA: Sacramento International",3735,39.7340425531915
"131","2300-2359","Delta Air Lines Inc.","Sacramento, CA: Sacramento International",2492,13.5434782608696
"132","2300-2359","JetBlue Airways","Sacramento, CA: Sacramento International",6390,25.6626506024096
"133","2300-2359","Southwest Airlines Co.","Sacramento, CA: Sacramento International",686,49
"134","2300-2359","United Air Lines Inc.","Sacramento, CA: Sacramento International",1693,19.2386363636364
"135","2300-2359","American Airlines Inc.","Salt Lake City, UT: Salt Lake City International",900,10.9756097560976
