"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"169","2300-2359","JetBlue Airways","Jacksonville, FL: Jacksonville International",226,25.1111111111111
"170","2300-2359","SkyWest Airlines Inc.","Jamestown, ND: Jamestown Regional",2410,10.0416666666667
"171","2300-2359","Alaska Airlines Inc.","Juneau, AK: Juneau International",2035,5.71629213483146
"172","2300-2359","Alaska Airlines Inc.","Kahului, HI: Kahului Airport",3939,11.0027932960894
"173","2300-2359","American Airlines Inc.","Kahului, HI: Kahului Airport",4672,24.5894736842105
"174","2300-2359","Hawaiian Airlines Inc.","Kahului, HI: Kahului Airport",6529,7.41089670828604
"175","2300-2359","United Air Lines Inc.","Kahului, HI: Kahului Airport",1151,7.19375
"176","2300-2359","Virgin America","Kahului, HI: Kahului Airport",320,29.0909090909091
"177","2300-2359","American Airlines Inc.","Kansas City, MO: Kansas City International",1,0.1
"178","2300-2359","Frontier Airlines Inc.","Kansas City, MO: Kansas City International",269,8.15151515151515
"179","2300-2359","SkyWest Airlines Inc.","Kansas City, MO: Kansas City International",35,17.5
"180","2300-2359","Southwest Airlines Co.","Kansas City, MO: Kansas City International",6232,15.7373737373737
"181","2300-2359","United Air Lines Inc.","Kansas City, MO: Kansas City International",0,0
"182","2300-2359","ExpressJet Airlines Inc.","Knoxville, TN: McGhee Tyson",90,90
"183","2300-2359","Alaska Airlines Inc.","Kona, HI: Kona International Airport at Keahole",1372,6.18018018018018
"184","2300-2359","American Airlines Inc.","Kona, HI: Kona International Airport at Keahole",5998,30.9175257731959
"185","2300-2359","Hawaiian Airlines Inc.","Kona, HI: Kona International Airport at Keahole",920,9.2
"186","2300-2359","United Air Lines Inc.","Kona, HI: Kona International Airport at Keahole",73,36.5
"187","2300-2359","ExpressJet Airlines Inc.","Lafayette, LA: Lafayette Regional Paul Fournet Field",0,0
"188","2300-2359","American Airlines Inc.","Las Vegas, NV: McCarran International",2634,14.5524861878453
"189","2300-2359","Delta Air Lines Inc.","Las Vegas, NV: McCarran International",1648,11.5244755244755
"190","2300-2359","Frontier Airlines Inc.","Las Vegas, NV: McCarran International",3287,24.7142857142857
"191","2300-2359","JetBlue Airways","Las Vegas, NV: McCarran International",574,10.8301886792453
"192","2300-2359","SkyWest Airlines Inc.","Las Vegas, NV: McCarran International",342,6.21818181818182
