"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"255",4,"SkyWest Airlines Inc.","Hays, KS: Hays Regional","CANCELLED",4
"256",4,"SkyWest Airlines Inc.","Helena, MT: Helena Regional","CANCELLED",1
"257",4,"SkyWest Airlines Inc.","Hibbing, MN: Range Regional","CANCELLED",4
"258",4,"Hawaiian Airlines Inc.","Hilo, HI: Hilo International","CANCELLED",1
"259",4,"ExpressJet Airlines Inc.","Hobbs, NM: Lea County Regional","CANCELLED",4
"260",4,"American Airlines Inc.","Honolulu, HI: Honolulu International","CANCELLED",5
"261",4,"Hawaiian Airlines Inc.","Honolulu, HI: Honolulu International","CANCELLED",7
"262",4,"United Air Lines Inc.","Honolulu, HI: Honolulu International","CANCELLED",2
"263",4,"American Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",25
"264",4,"ExpressJet Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",136
"265",4,"Frontier Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",2
"266",4,"SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",33
"267",4,"Spirit Air Lines","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",23
"268",4,"United Air Lines Inc.","Houston, TX: George Bush Intercontinental/Houston","CANCELLED",96
"269",4,"ExpressJet Airlines Inc.","Houston, TX: William P Hobby","CANCELLED",3
"270",4,"JetBlue Airways","Houston, TX: William P Hobby","CANCELLED",1
"271",4,"Southwest Airlines Co.","Houston, TX: William P Hobby","CANCELLED",65
"272",4,"ExpressJet Airlines Inc.","Huntsville, AL: Huntsville International-Carl T Jones Field","CANCELLED",4
"273",4,"SkyWest Airlines Inc.","Idaho Falls, ID: Idaho Falls Regional","CANCELLED",6
"274",4,"American Airlines Inc.","Indianapolis, IN: Indianapolis International","CANCELLED",4
"275",4,"ExpressJet Airlines Inc.","Indianapolis, IN: Indianapolis International","CANCELLED",13
"276",4,"Frontier Airlines Inc.","Indianapolis, IN: Indianapolis International","CANCELLED",3
"277",4,"Southwest Airlines Co.","Indianapolis, IN: Indianapolis International","CANCELLED",9
"278",4,"United Air Lines Inc.","Indianapolis, IN: Indianapolis International","CANCELLED",1
"279",4,"SkyWest Airlines Inc.","International Falls, MN: Falls International Einarson Field","CANCELLED",2
"280",4,"SkyWest Airlines Inc.","Iron Mountain/Kingsfd, MI: Ford","CANCELLED",2
"281",4,"Southwest Airlines Co.","Islip, NY: Long Island MacArthur","CANCELLED",10
"282",4,"SkyWest Airlines Inc.","Ithaca/Cortland, NY: Ithaca Tompkins Regional","CANCELLED",2
